2024-11-27 14:45:23 - FewShotSeg - INFO - Epoch: 2, Iteration: 1, Training Loss: 0.0052, Mean IoU: 0.9482, Mean Accuracy: 0.9785, per Category IOU: [0.99966521 0.89668466]
2024-11-27 14:45:24 - FewShotSeg - INFO - Epoch: 2, Iteration: 2, Training Loss: 0.0047, Mean IoU: 0.9498, Mean Accuracy: 0.9806, per Category IOU: [0.9996401  0.89986092]
2024-11-27 14:45:24 - FewShotSeg - INFO - Epoch: 2, Iteration: 3, Training Loss: 0.0046, Mean IoU: 0.9666, Mean Accuracy: 0.9843, per Category IOU: [0.99972491 0.93357488]
2024-11-27 14:45:24 - FewShotSeg - INFO - Epoch: 2, Iteration: 4, Training Loss: 0.0066, Mean IoU: 0.9391, Mean Accuracy: 0.9648, per Category IOU: [0.99967538 0.87850467]
2024-11-27 14:45:24 - FewShotSeg - INFO - Epoch: 2, Iteration: 5, Training Loss: 0.0047, Mean IoU: 0.9379, Mean Accuracy: 0.9822, per Category IOU: [0.99959526 0.87624141]
2024-11-27 14:45:25 - FewShotSeg - INFO - Epoch: 2, Iteration: 6, Training Loss: 0.0058, Mean IoU: 0.9511, Mean Accuracy: 0.9862, per Category IOU: [0.99957733 0.90270581]
2024-11-27 14:45:25 - FewShotSeg - INFO - Epoch: 2, Iteration: 7, Training Loss: 0.0049, Mean IoU: 0.9469, Mean Accuracy: 0.9793, per Category IOU: [0.99952225 0.89418283]
2024-11-27 14:45:25 - FewShotSeg - INFO - Epoch: 2, Iteration: 8, Training Loss: 0.0041, Mean IoU: 0.9492, Mean Accuracy: 0.9737, per Category IOU: [0.99971027 0.89868996]
2024-11-27 14:45:26 - FewShotSeg - INFO - Epoch: 2, Iteration: 9, Training Loss: 0.0055, Mean IoU: 0.9398, Mean Accuracy: 0.9782, per Category IOU: [0.99953254 0.87997433]
2024-11-27 14:45:26 - FewShotSeg - INFO - Epoch: 2, Iteration: 10, Training Loss: 0.0049, Mean IoU: 0.9532, Mean Accuracy: 0.9750, per Category IOU: [0.99970018 0.90661479]
2024-11-27 14:45:26 - FewShotSeg - INFO - Epoch: 2, Iteration: 11, Training Loss: 0.0040, Mean IoU: 0.9488, Mean Accuracy: 0.9845, per Category IOU: [0.9996326  0.89805825]
2024-11-27 14:45:26 - FewShotSeg - INFO - Epoch: 2, Iteration: 12, Training Loss: 0.0066, Mean IoU: 0.9637, Mean Accuracy: 0.9835, per Category IOU: [0.99968986 0.92761238]
2024-11-27 14:45:27 - FewShotSeg - INFO - Epoch: 2, Iteration: 13, Training Loss: 0.0043, Mean IoU: 0.9490, Mean Accuracy: 0.9811, per Category IOU: [0.99966018 0.89827973]
2024-11-27 14:45:27 - FewShotSeg - INFO - Epoch: 2, Iteration: 14, Training Loss: 0.0074, Mean IoU: 0.9539, Mean Accuracy: 0.9779, per Category IOU: [0.99964249 0.90821566]
2024-11-27 14:45:27 - FewShotSeg - INFO - Epoch: 2, Iteration: 15, Training Loss: 0.0055, Mean IoU: 0.9611, Mean Accuracy: 0.9848, per Category IOU: [0.99970249 0.92252604]
